RAW RESULTS
Website,Test Number,Load Time (ms)
https://www.python.org,1,2793
https://www.python.org,2,1250
https://www.python.org,3,1106
https://www.python.org,4,1097
https://www.python.org,5,967
https://www.python.org,6,963
https://www.python.org,7,773
https://www.python.org,8,972
https://www.python.org,9,999
https://www.python.org,10,1040
https://www.wikipedia.org,1,7108
https://www.wikipedia.org,2,4415
https://www.wikipedia.org,3,5266
https://www.wikipedia.org,4,6918
https://www.wikipedia.org,5,5295
https://www.wikipedia.org,6,4479
https://www.wikipedia.org,7,4916
https://www.wikipedia.org,8,4436
https://www.wikipedia.org,9,5156
https://www.wikipedia.org,10,4620
https://www.github.com,1,14506
https://www.github.com,2,11288
https://www.github.com,3,7818
https://www.github.com,4,7170
https://www.github.com,5,7166
https://www.github.com,6,7535
https://www.github.com,7,7762
https://www.github.com,8,7390
https://www.github.com,9,7063
https://www.github.com,10,7899
https://www.google.com,1,4127
https://www.google.com,2,6356
https://www.google.com,3,3756
https://www.google.com,4,2947
https://www.google.com,5,3087
https://www.google.com,6,2732
https://www.google.com,7,3188
https://www.google.com,8,3125
https://www.google.com,9,3044
https://www.google.com,10,3124
https://stackoverflow.com,1,17156
https://stackoverflow.com,2,9888
https://stackoverflow.com,3,7796
https://stackoverflow.com,4,6605
https://stackoverflow.com,5,12908
https://stackoverflow.com,6,6784
https://stackoverflow.com,7,6580
https://stackoverflow.com,8,8664
https://stackoverflow.com,9,8321
https://stackoverflow.com,10,8097

SUMMARY RESULTS
Website,Average (ms),Minimum (ms),Maximum (ms)
https://www.python.org,1196,773,2793
https://www.wikipedia.org,5260.9,4415,7108
https://www.github.com,8559.7,7063,14506
https://www.google.com,3548.6,2732,6356
https://stackoverflow.com,9279.9,6580,17156
